student,kc,p_L_final,opportunities_to_mastery
第一級|2020-DSE-CHI-Paper1,伸展,1.0,1
第一級|2020-DSE-CHI-Paper1,評鑑,0.9651,1
第一級|2020-DSE-CHI-Paper1,重整,1.0,1
第五級|2020-DSE-CHI-Paper1,伸展,1.0,1
第五級|2020-DSE-CHI-Paper1,評鑑,0.9651,1
第五級|2020-DSE-CHI-Paper1,重整,0.9991,1
第四級|2020-DSE-CHI-Paper1,伸展,1.0,1
第四級|2020-DSE-CHI-Paper1,評鑑,0.9651,1
第四級|2020-DSE-CHI-Paper1,重整,0.9998,1
第三級|2020-DSE-CHI-Paper1,伸展,1.0,1
第三級|2020-DSE-CHI-Paper1,評鑑,0.9658,1
第三級|2020-DSE-CHI-Paper1,重整,1.0,1
第二級|2020-DSE-CHI-Paper1,伸展,1.0,1
第二級|2020-DSE-CHI-Paper1,評鑑,0.9651,1
第二級|2020-DSE-CHI-Paper1,重整,0.9669,1
第三級|2024-DSE-CHI-Paper1,伸展,1.0,1
第三級|2024-DSE-CHI-Paper1,評鑑,0.9645,1
第三級|2024-DSE-CHI-Paper1,重整,0.8513,1
第二級|2024-DSE-CHI-Paper1,伸展,1.0,1
第二級|2024-DSE-CHI-Paper1,評鑑,0.9658,1
第二級|2024-DSE-CHI-Paper1,重整,0.9998,1
第一級|2024-DSE-CHI-Paper1,伸展,1.0,1
第一級|2024-DSE-CHI-Paper1,評鑑,0.9645,1
第一級|2024-DSE-CHI-Paper1,重整,0.9991,1
